Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Expense,Estimate,pre-test Midcycle,00211 - District Two,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,00611 - District Six,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP53 - CONSTITUENT AFFAIRS,51111 - Civilian: Regular," 32,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,00311 - District Three,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,00911 - Council At Large,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP53 - CONSTITUENT AFFAIRS,51111 - Civilian: Regular," 59,760 "
FY10-11,Expense,Estimate,pre-test Midcycle,00111 - District One,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,00311 - District Three,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP53 - CONSTITUENT AFFAIRS,51111 - Civilian: Regular," 32,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,00411 - District Four,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,00211 - District Two,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP53 - CONSTITUENT AFFAIRS,51111 - Civilian: Regular," 32,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,00511 - District Five,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP53 - CONSTITUENT AFFAIRS,51111 - Civilian: Regular," 32,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,00611 - District Six,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,00711 - District Seven,City Council,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP52 - POLICY ANALYSIS,51111 - Civilian: Regular," 27,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,88689 - Central District Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C00800 - CENTRAL DISTRICT PLANNING,SC13 - DOWNTOWN REDEVELOPMENT,51111 - Civilian: Regular," 433,030 "
FY10-11,Expense,Estimate,pre-test Midcycle,88659 - Coliseum Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233210 - CENTRAL  CITY EAST REPAYMENT AGREEMENT,SC12 - COLISEUM,51111 - Civilian: Regular," 44,870 "
FY10-11,Expense,Estimate,pre-test Midcycle,88559 - Business Development,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,"SC11 - BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51111 - Civilian: Regular," 571,240 "
FY10-11,Expense,Estimate,pre-test Midcycle,88639 - Real Estate,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,PS32 - REAL ESTATE,51111 - Civilian: Regular," 301,510 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC13 - DOWNTOWN REDEVELOPMENT,51111 - Civilian: Regular," 177,810 "
FY10-11,Expense,Estimate,pre-test Midcycle,88919 - Housing and Community Development: Support Staff,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,NB32 - HOME OWNERSHIP & REHABILITATION,51111 - Civilian: Regular," 155,970 "
FY10-11,Expense,Estimate,pre-test Midcycle,88732 - Public Art,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,CE01 - PUBLIC ART PROGRAM,51111 - Civilian: Regular," 16,190 "
FY10-11,Expense,Estimate,pre-test Midcycle,88679 - Oakland Army Base Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P235310 - OARB BAY BRIDGE GATEWAY,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 7,970 "
FY10-11,Expense,Estimate,pre-test Midcycle,88669 - Broadway/MacArthur/San Pablo Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P187410 - BROADWAY/MACARTHUR/SAN PABLO,SC05 - BROADWAY/MACARTHUR/SAN PABLO,51111 - Civilian: Regular," 127,110 "
FY10-11,Expense,Estimate,pre-test Midcycle,88659 - Coliseum Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233210 - CENTRAL  CITY EAST REPAYMENT AGREEMENT,SC18 - CENTRAL CITY EAST,51111 - Civilian: Regular," 26,030 "
FY10-11,Expense,Estimate,pre-test Midcycle,88699 - Central City East Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233210 - CENTRAL  CITY EAST REPAYMENT AGREEMENT,SC18 - CENTRAL CITY EAST,51111 - Civilian: Regular," 168,100 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 26,830 "
FY10-11,Expense,Estimate,pre-test Midcycle,88559 - Business Development,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C82620 - COLISEUM,"SC11 - BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51111 - Civilian: Regular," 21,060 "
FY10-11,Expense,Estimate,pre-test Midcycle,88679 - Oakland Army Base Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C00400 - ACORN PROJECT,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 51,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,88659 - Coliseum Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C82620 - COLISEUM,SC12 - COLISEUM,51111 - Civilian: Regular," 327,830 "
FY10-11,Expense,Estimate,pre-test Midcycle,88689 - Central District Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C00400 - ACORN PROJECT,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 22,430 "
FY10-11,Expense,Estimate,pre-test Midcycle,88482 - Inspection Admin Support,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C82620 - COLISEUM,PS31 - DEVELOPMENT PERMIT INSPECTIONS,51111 - Civilian: Regular," 14,990 "
FY10-11,Expense,Estimate,pre-test Midcycle,88229 - City Planning: Other,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P368910 - ESTUARY PLAN: CCE (9540-S369010),"SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS",51111 - Civilian: Regular," 19,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88559 - Business Development,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C00800 - CENTRAL DISTRICT PLANNING,"SC11 - BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51111 - Civilian: Regular," 21,060 "
FY10-11,Expense,Estimate,pre-test Midcycle,88679 - Oakland Army Base Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P235310 - OARB BAY BRIDGE GATEWAY,SC07 - OARB-BAY BRIDGE GATEWAY,51111 - Civilian: Regular," 253,040 "
FY10-11,Expense,Estimate,pre-test Midcycle,88529 - Economic Development Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,"SC11 - BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION",51111 - Civilian: Regular," 59,470 "
FY10-11,Expense,Estimate,pre-test Midcycle,88579 - Commercial Lending,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233210 - CENTRAL  CITY EAST REPAYMENT AGREEMENT,SC04 - COMMERCIAL LENDING,51111 - Civilian: Regular," 11,830 "
FY10-11,Expense,Estimate,pre-test Midcycle,88639 - Real Estate,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P235310 - OARB BAY BRIDGE GATEWAY,PS32 - REAL ESTATE,51111 - Civilian: Regular," 63,760 "
FY10-11,Expense,Estimate,pre-test Midcycle,88939 - Municipal Lending,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,NB32 - HOME OWNERSHIP & REHABILITATION,51111 - Civilian: Regular," 194,970 "
FY10-11,Expense,Estimate,pre-test Midcycle,88712 - Marketing & Special Events,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC02 - MARKETING & SPECIAL EVENTS,51111 - Civilian: Regular," 366,420 "
FY10-11,Expense,Estimate,pre-test Midcycle,88689 - Central District Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC13 - DOWNTOWN REDEVELOPMENT,51111 - Civilian: Regular," 36,440 "
FY10-11,Expense,Estimate,pre-test Midcycle,88229 - City Planning: Other,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P367920 - BROADWAY SPCIFIC PLAN/EIR ¿ CITY (9529-T368020),"SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS",51111 - Civilian: Regular," 38,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88679 - Oakland Army Base Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233610 - WEST OAKLAND REPAYMENT,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 123,090 "
FY10-11,Expense,Estimate,pre-test Midcycle,88229 - City Planning: Other,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,IN08 - HISTORIC PRESERVATION,51111 - Civilian: Regular," 23,010 "
FY10-11,Expense,Estimate,pre-test Midcycle,88689 - Central District Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233610 - WEST OAKLAND REPAYMENT,SC06 - WEST OAKLAND REDEVELOPMENT,51111 - Civilian: Regular," 8,980 "
FY10-11,Expense,Estimate,pre-test Midcycle,88919 - Housing and Community Development: Support Staff,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,SC14 - HOUSING DEVELOPMENT,51111 - Civilian: Regular," 282,440 "
FY10-11,Expense,Estimate,pre-test Midcycle,88211 - Major Projects,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,"SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS",51111 - Civilian: Regular," 112,700 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC05 - BROADWAY/MACARTHUR/SAN PABLO,51111 - Civilian: Regular," 17,880 "
FY10-11,Expense,Estimate,pre-test Midcycle,88929 - Housing Development,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,SC14 - HOUSING DEVELOPMENT,51111 - Civilian: Regular," 549,100 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC12 - COLISEUM,51111 - Civilian: Regular," 131,220 "
FY10-11,Expense,Estimate,pre-test Midcycle,88699 - Central City East Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P331910 - OAK KNOLL OP-F7780 (ORA MR S315110),SC25 - OAK KNOLL,51111 - Civilian: Regular," 81,760 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC07 - OARB-BAY BRIDGE GATEWAY,51111 - Civilian: Regular," 35,250 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,SC18 - CENTRAL CITY EAST,51111 - Civilian: Regular," 126,440 "
FY10-11,Expense,Estimate,pre-test Midcycle,88211 - Major Projects,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P368910 - ESTUARY PLAN: CCE (9540-S369010),"SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS",51111 - Civilian: Regular," 60,730 "
FY10-11,Expense,Estimate,pre-test Midcycle,88939 - Municipal Lending,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P233290 - CNTRL CITY EAST-REHAB STAFFING-7780(ORA MR S233390),NB32 - HOME OWNERSHIP & REHABILITATION,51111 - Civilian: Regular," 49,580 "
FY10-11,Expense,Estimate,pre-test Midcycle,88229 - City Planning: Other,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P387910 - LAK MERR SPECIFIC PLAN/EIR - CITY (9540-S387810),"SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS",51111 - Civilian: Regular," 19,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88629 - Redevelopment Director,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,SC14 - HOUSING DEVELOPMENT,51111 - Civilian: Regular," 19,020 "
FY10-11,Expense,Estimate,pre-test Midcycle,88989 - Homeownership Programs,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,NB32 - HOME OWNERSHIP & REHABILITATION,51111 - Civilian: Regular," 167,030 "
FY10-11,Expense,Estimate,pre-test Midcycle,88689 - Central District Redevelopment,Community and Economic Development Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),P187410 - BROADWAY/MACARTHUR/SAN PABLO,SC05 - BROADWAY/MACARTHUR/SAN PABLO,51111 - Civilian: Regular," 8,980 "
FY10-11,Expense,Estimate,pre-test Midcycle,78111 - Department of Human Services: Administration,Department of Human Services,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),C64300 - OHND LOW/MOD HOUSING,SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES,51111 - Civilian: Regular," 255,290 "
FY10-11,Expense,Estimate,pre-test Midcycle,08111 - Finance and Management: Administration,Finance and Management Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,IP59 - FINANCIAL MANAGEMENT,51111 - Civilian: Regular," 40,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,08211 - Accounting:  Administration,Finance and Management Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP59 - FINANCIAL MANAGEMENT,51111 - Civilian: Regular," 47,620 "
FY10-11,Expense,Estimate,pre-test Midcycle,08222 - General Ledger,Finance and Management Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP59 - FINANCIAL MANAGEMENT,51111 - Civilian: Regular," 231,380 "
FY10-11,Expense,Estimate,pre-test Midcycle,08111 - Finance and Management: Administration,Finance and Management Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP59 - FINANCIAL MANAGEMENT,51111 - Civilian: Regular," 43,570 "
FY10-11,Expense,Estimate,pre-test Midcycle,01111 - Mayor: Administration,Mayor,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260810 - ORA CLEARING PROJ,IP01 - MAYOR'S SUPPORT,51111 - Civilian: Regular," 177,840 "
FY10-11,Expense,Estimate,pre-test Midcycle,30673 - Graffiti Abatement Rapid Response,Public Works Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL,51111 - Civilian: Regular," 104,900 "
FY10-11,Expense,Estimate,pre-test Midcycle,30674 - Illegal Dumping,Public Works Agency,No SubUnit,7780 - Oakland Redevelopment Agency Projects (ORA),A260830 - ORA CLEARING PROJ EXCLDNG LOWMOD,NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL,51111 - Civilian: Regular," 192,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,20341 - Arson Investigation,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,51112 - Sworn: Regular," 276,600 "
FY10-11,Expense,Estimate,pre-test Midcycle,20814 - Fire: Airport,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS18 - SPECIAL OPERATIONS-EMERGENCY RESPONSE,51112 - Sworn: Regular," 1,999,250 "
FY10-11,Expense,Estimate,pre-test Midcycle,20411 - Emergency / Suppression: Shift A,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS17 - FIRE SUPPRESSION/FIELD OPERATIONS,51112 - Sworn: Regular," 40,345,230 "
FY10-11,Expense,Estimate,pre-test Midcycle,20371 - Vegetation Management,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,51112 - Sworn: Regular, 10 
FY10-11,Expense,Estimate,pre-test Midcycle,20816 - Fire: Support Services,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS26 - EMERGENCY RESPONSE SUPPORT SERVICES,51112 - Sworn: Regular," 101,230 "
FY10-11,Expense,Estimate,pre-test Midcycle,20631 - In-Service Training,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"PS27 - FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",51112 - Sworn: Regular," 121,760 "
FY10-11,Expense,Estimate,pre-test Midcycle,20611 - Education and Training: Administration,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"PS27 - FIRE DEPARTMENT SAFETY, EDUCATION, & TRAINING",51112 - Sworn: Regular," 202,460 "
FY10-11,Expense,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,51112 - Sworn: Regular," 141,850 "
FY10-11,Expense,Estimate,pre-test Midcycle,20110 - Fire Chief,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS15 - FIRE DEPARTMENT ADMINISTRATION,51112 - Sworn: Regular," 159,390 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10112 - Internal Affairs,Police Services Agency,101120 - Internal Affairs,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS02 - INTERNAL AFFAIRS,51112 - Sworn: Regular," 2,560,330 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS14 - TRAFFIC OPERATIONS,51112 - Sworn: Regular," 1,784,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS12 - VICE/NARCOTICS,51112 - Sworn: Regular," 565,430 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10661 - Background & Recruiting,Police Services Agency,106610 - Background & Recruiting,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 536,080 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10113 - Office of the Inspector General,Police Services Agency,101130 - Office of the Inspector General,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 578,340 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10232 - Special Investigations,Police Services Agency,102320 - Homicide,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 1,088,840 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51112 - Sworn: Regular," 1,899,740 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102350 - Family Services Division,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51112 - Sworn: Regular," 104,750 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10251 - Assault,Police Services Agency,102510 - Assault,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 1,423,220 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10234 - Theft,Police Services Agency,102340 - Property/Theft,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 1,120,540 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10731 - Police Area 3,Police Services Agency,107310 - Police Area 3,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 11,677,210 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10111 - Office of Chief: Administration,Police Services Agency,101110 - Office of Chief: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 473,710 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10331 - Communications,Police Services Agency,103310 - Communications,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS08 - COMMUNICATIONS,51112 - Sworn: Regular," 285,870 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10731 - Police Area 3,Police Services Agency,107310 - Police Area 3,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51112 - Sworn: Regular," 127,630 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10233 - Robbery & Assault,Police Services Agency,102330 - Robbery,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 1,155,410 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,1010 - General Fund: General Purpose,P46000 - DEEMED APPROVED ALCOHOL CONTRO,PS13 - SPECIAL OPERATIONS,51112 - Sworn: Regular," 156,980 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10701 - Bureau of Field Operations-Admin,Police Services Agency,107010 - Bureau of Field Operations-Admin,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 644,980 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102350 - Family Services Division,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 3,712,930 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10211 - Bureau of Investigation: Administration,Police Services Agency,102110 - Bureau of Investigation: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 90,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 10,790,770 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10361 - Research Planning / Crime Analysis,Police Services Agency,103610 - Research Planning / Crime Analysis,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS06 - RESEARCH & PLANNING & CRIME ANALYSIS,51112 - Sworn: Regular," 65,510 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10111 - Office of Chief: Administration,Police Services Agency,101112 - Public Information,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 78,490 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10232 - Special Investigations,Police Services Agency,102321 - Targeted Enforcement Task Force I,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS12 - VICE/NARCOTICS,51112 - Sworn: Regular," 739,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 65,510 "
